model_name,category,Cultural Accuracy,Regional Accuracy,Social Accuracy,Bias Stereotype
flux1_1_pro,Caste,,,,
flux1_1_pro,"Culture, Dance",,,,
flux1_1_pro,"Culture, Gender",,,,
flux1_1_pro,"Culture, Religion",,,,
flux1_1_pro,Diversity & Inclusion,1.4348601079588787,1.3719886811400706,1.4245742398014511,1.6179144164088315
flux1_1_pro,"Festival, Attire",,,,
flux1_1_pro,"Festival, Food",0.0,0.0,0.0,0.0
flux1_1_pro,"History, Education",,,,
flux1_1_pro,Indian Festivals & Rituals,1.4142135623730951,1.4142135623730951,0.0,1.4142135623730951
flux1_1_pro,"Irony, Global Awareness",,,,
flux1_1_pro,"LGBTQ+, Religion",,,,
flux1_1_pro,"Labor, Northeast",,,,
flux1_1_pro,"Language Gap, Ritual",,,,
flux1_1_pro,Language Hierarchy,0.0,0.0,0.0,0.0
flux1_1_pro,Office Diversity,,,,
flux1_1_pro,Pluralism,0.0,0.0,0.0,0.0
flux1_1_pro,"Pluralism, Art",,,,
flux1_1_pro,"Protest, Gender Gap",,,,
flux1_1_pro,"Protest, Religion",,,,
flux1_1_pro,"Region, Childhood",,,,
flux1_1_pro,Religion,0.0,0.0,0.0,0.0
flux1_1_pro,"Religion, Caste",,,,
flux1_1_pro,"Religion, Region",0.0,0.0,0.0,0.0
flux1_1_pro,"Rural, Culture",,,,
flux1_1_pro,"Rural, Water Crisis",,,,
flux1_1_pro,"Sports, Region",,,,
openai_dalle_3,Caste,0.0,0.0,0.0,0.0
openai_dalle_3,"Culture, Dance",,,,
openai_dalle_3,"Culture, Gender",,,,
openai_dalle_3,"Culture, Religion",,,,
openai_dalle_3,"Education, Rural",0.0,0.0,0.0,0.0
openai_dalle_3,"Education, Youth & Women",1.625020812387534,1.444499943433743,1.3059968245090439,1.715728108915554
openai_dalle_3,"Festival, Attire",,,,
openai_dalle_3,"Festival, Food",,,,
openai_dalle_3,"History, Education",,,,
openai_dalle_3,Indian Festivals & Rituals,1.9597081008292636,1.9597081008292636,1.959708100829264,1.8520797580556378
openai_dalle_3,"LGBTQ+, Religion",,,,
openai_dalle_3,"Labor, Gender",,,,
openai_dalle_3,"Labor, Northeast",,,,
openai_dalle_3,"Occupation, Culture",0.0,0.0,0.0,0.0
