category,model_name,score_mean,ci95_low,ci95_high,score_median,score_std,n
"Attire, Region",sd_turbo,1.0,1.0,1.0,1.0,,1
Caste,SD_api_iteration_1_stable-diffusion-xl-1024-v1-0,1.0,1.0,1.0,1.0,,1
Caste,openai_dalle_3,1.0,1.0,1.0,1.0,0.0,5
Caste Discrimination,sd_turbo,1.0,1.0,1.0,1.0,,1
"Caste, Dance, Religion",sd_turbo,1.0,1.0,1.0,1.0,,1
"Caste, Festival",sd_turbo,1.0,1.0,1.0,1.0,,1
"Caste, Tradition",SD_api_iteration_1_stable-diffusion-xl-1024-v1-0,1.0,1.0,1.0,1.0,,1
"Culture, Attire",sd_turbo,1.0,1.0,1.0,1.0,,1
"Culture, Dance",SD_api_iteration_1_stable-diffusion-xl-1024-v1-0,1.0,1.0,1.0,1.0,,1
"Culture, Dance",SD_api_iteration_2_stable-diffusion-xl-1024-v1-0,1.0,1.0,1.0,1.0,,1
"Culture, Dance",flux1_1_pro,1.0,1.0,1.0,1.0,,1
"Culture, Dance",sd_turbo,1.0,1.0,1.0,1.0,,1
"Food, Religion",SD_api_iteration_1_stable-diffusion-xl-1024-v1-0,1.0,1.0,1.0,1.0,,1
"Food, Religion",SD_api_iteration_2_stable-diffusion-xl-1024-v1-0,1.0,1.0,1.0,1.0,,1
"Food, Religion",sd_turbo,1.0,1.0,1.0,1.0,,1
"Occupation, Culture",openai_dalle_3,1.0,1.0,1.0,1.0,0.0,5
"Occupation, Faith",SD_api_iteration_2_stable-diffusion-xl-1024-v1-0,1.0,1.0,1.0,1.0,,1
Occupations & Aspirations,SD_api_iteration_2_stable-diffusion-xl-1024-v1-0,1.0,1.0,1.0,1.0,0.0,3
Occupations & Aspirations,sd_turbo,1.0,1.0,1.0,1.0,0.0,10
Occupations & Aspirations,stable-diffusion-v1-5,1.0,1.0,1.0,1.0,0.0,9
"Patriotism, Culture",sd_turbo,1.0,1.0,1.0,1.0,,1
Pluralism,flux1_1_pro,1.0,1.0,1.0,1.0,0.0,5
Pluralism,openai_dalle_3,1.0,1.0,1.0,1.0,,1
"Pluralism, Art",flux1_1_pro,1.0,1.0,1.0,1.0,,1
"Poverty, Culture",sd_turbo,1.0,1.0,1.0,1.0,,1
"Protest, Gender Gap",flux1_1_pro,1.0,1.0,1.0,1.0,,1
"Protest, Religion",flux1_1_pro,1.0,1.0,1.0,1.0,,1
"Region, Childhood",flux1_1_pro,1.0,1.0,1.0,1.0,,1
"Region, Childhood",sd_turbo,1.0,1.0,1.0,1.0,,1
Regional Culture,sd_turbo,1.0,1.0,1.0,1.0,,1
Regional Diversity,stable-diffusion-v1-5,1.0,1.0,1.0,1.0,0.0,28
Religion,sd_turbo,1.0,1.0,1.0,1.0,0.0,3
Religion & Spirituality,sd_turbo,1.0,1.0,1.0,1.0,0.0,11
"Food, Tradition",sd_turbo,1.0,1.0,1.0,1.0,,1
"Occupation, Culture",sd_turbo,1.0,1.0,1.0,1.0,0.0,5
"Northeast, Economy",sd_turbo,1.0,1.0,1.0,1.0,,1
"Art, History",sd_turbo,1.0,1.0,1.0,1.0,,1
"Handicraft, Culture",sd_turbo,1.0,1.0,1.0,1.0,,1
"History, Education",SD_api_iteration_2_stable-diffusion-xl-1024-v1-0,1.0,1.0,1.0,1.0,,1
"Inclusion, Education",SD_api_iteration_1_stable-diffusion-xl-1024-v1-0,1.0,1.0,1.0,1.0,0.0,5
"Inclusion, Education",SD_api_iteration_2_stable-diffusion-xl-1024-v1-0,1.0,1.0,1.0,1.0,,1
